Location,TimeFrame,COLLEGE_GRAD_PCT
Pulaski,2017-2018,0.65
Robertson,2011-2012,0.17
Robertson,2012-2013,1
Robertson,2013-2014,0.4
Robertson,2014-2015,0.6
Robertson,2015-2016,0.67
Robertson,2016-2017,0
Robertson,2017-2018,0.5
Rockcastle,2011-2012,0.38
Rockcastle,2012-2013,0.44
Rockcastle,2013-2014,0.54
Rockcastle,2014-2015,0.45
Rockcastle,2015-2016,0.49
Rockcastle,2016-2017,0.43
Rockcastle,2017-2018,0.54
Rowan,2011-2012,0.49
Rowan,2012-2013,0.44
Rowan,2013-2014,0.56
Rowan,2014-2015,0.38
Rowan,2015-2016,0.45
Rowan,2016-2017,0.42
Rowan,2017-2018,0.48
Russell,2011-2012,0.55
Russell,2012-2013,0.55
Russell,2013-2014,0.57
Russell,2014-2015,0.46
Russell,2015-2016,0.49
Russell,2016-2017,0.67
Russell,2017-2018,0.61
Scott,2011-2012,0.46
Scott,2012-2013,0.44
Scott,2013-2014,0.54
Scott,2014-2015,0.52
Scott,2015-2016,0.55
Scott,2016-2017,0.56
Scott,2017-2018,0.51
Shelby,2011-2012,0.42
Shelby,2012-2013,0.45
Shelby,2013-2014,0.5
Shelby,2014-2015,0.55
Shelby,2015-2016,0.43
Shelby,2016-2017,0.54
Shelby,2017-2018,0.59
Simpson,2011-2012,0.63
Simpson,2012-2013,0.44
Simpson,2013-2014,0.44
Simpson,2014-2015,0.34
Simpson,2015-2016,0.56
Simpson,2016-2017,0.56
Simpson,2017-2018,0.6
Spencer,2011-2012,0.44
Spencer,2012-2013,0.48
Spencer,2013-2014,0.46
Spencer,2014-2015,0.42
Spencer,2015-2016,0.34
Spencer,2016-2017,0.48
Spencer,2017-2018,0.59
Taylor,2011-2012,0.46
Taylor,2012-2013,0.55
Taylor,2013-2014,0.5
Taylor,2014-2015,0.44
Taylor,2015-2016,0.58
Taylor,2016-2017,0.5
Taylor,2017-2018,0.45
Todd,2011-2012,0.43
Todd,2012-2013,0.41
Todd,2013-2014,0.56
Todd,2014-2015,0.46
Todd,2015-2016,0.64
Todd,2016-2017,0.45
Todd,2017-2018,0.54
Trigg,2011-2012,0.45
Trigg,2012-2013,0.4
Trigg,2013-2014,0.67
Trigg,2014-2015,0.55
Trigg,2015-2016,0.42
Trigg,2016-2017,0.37
Trigg,2017-2018,0.46
Trimble,2011-2012,0.45
Trimble,2012-2013,0.52
Trimble,2013-2014,0.44
Trimble,2014-2015,0.35
Trimble,2015-2016,0.43
Trimble,2016-2017,0.48
Trimble,2017-2018,0.6
Union,2011-2012,0.79
Union,2012-2013,0.5
Union,2013-2014,0.54
Union,2014-2015,0.74
Union,2015-2016,0.64
Union,2016-2017,0.62
Union,2017-2018,0.5
Warren,2011-2012,0.51
Warren,2012-2013,0.53
Warren,2013-2014,0.51
Warren,2014-2015,0.49
Warren,2015-2016,0.54
Warren,2016-2017,0.54
Warren,2017-2018,0.59
Washington,2011-2012,0.7
Washington,2012-2013,0.57
Washington,2013-2014,0.72
Washington,2014-2015,0.56
Washington,2015-2016,0.4
Washington,2016-2017,0.63
Washington,2017-2018,0.63
Wayne,2011-2012,0.53
Wayne,2012-2013,0.65
Wayne,2013-2014,0.36
Wayne,2014-2015,0.61
Wayne,2015-2016,0.56
Wayne,2016-2017,0.44
Wayne,2017-2018,0.7
Webster,2011-2012,0.72
Webster,2012-2013,0.44
Webster,2013-2014,0.5
Webster,2014-2015,0.41
Webster,2015-2016,0.47
Webster,2016-2017,0.55
Webster,2017-2018,0.65
Whitley,2011-2012,0.45
Whitley,2012-2013,0.34
Whitley,2013-2014,0.4
Whitley,2014-2015,0.38
Whitley,2015-2016,0.35
Whitley,2016-2017,0.47
Whitley,2017-2018,0.36
Wolfe,2011-2012,0.33
Wolfe,2012-2013,0.77
Wolfe,2013-2014,0.32
Wolfe,2014-2015,0.29
Wolfe,2015-2016,0.59
Wolfe,2016-2017,0.22
Wolfe,2017-2018,0.55
Woodford,2011-2012,0.51
Woodford,2012-2013,0.53
Woodford,2013-2014,0.61
Woodford,2014-2015,0.62
Woodford,2015-2016,0.58
Woodford,2016-2017,0.63
Woodford,2017-2018,0.62
