Location,Age group,TimeFrame,CHILD_POP_CNT,,
Trigg,0-17,2015,3061,,
Trigg,0-17,2016,3063,,
Trigg,0-17,2017,3133,,
Trimble,0-17,2011,2140,,
Trimble,0-17,2012,2134,,
Trimble,0-17,2013,2105,,
Trimble,0-17,2014,2079,,
Trimble,0-17,2015,2007,,
Trimble,0-17,2016,1938,,
Trimble,0-17,2017,1881,,
Union,0-17,2011,3416,,
Union,0-17,2012,3349,,
Union,0-17,2013,3136,,
Union,0-17,2014,3043,,
Union,0-17,2015,2961,,
Union,0-17,2016,2868,,
Union,0-17,2017,2780,,
Warren,0-17,2011,26081,,
Warren,0-17,2012,26334,,
Warren,0-17,2013,26597,,
Warren,0-17,2014,27073,,
Warren,0-17,2015,27678,,
Warren,0-17,2016,28324,,
Warren,0-17,2017,29322,,
Washington,0-17,2011,2739,,
Washington,0-17,2012,2701,,
Washington,0-17,2013,2754,,
Washington,0-17,2014,2752,,
Washington,0-17,2015,2761,,
Washington,0-17,2016,2811,,
Washington,0-17,2017,2828,,
Wayne,0-17,2011,4679,,
Wayne,0-17,2012,4634,,
Wayne,0-17,2013,4527,,
Wayne,0-17,2014,4399,,
Wayne,0-17,2015,4373,,
Wayne,0-17,2016,4311,,
Wayne,0-17,2017,4287,,
Webster,0-17,2011,3180,,
Webster,0-17,2012,3196,,
Webster,0-17,2013,3081,,
Webster,0-17,2014,3050,,
Webster,0-17,2015,3005,,
Webster,0-17,2016,3116,,
