Location,TimeFrame,SMOKING_MOM_PCT
Oldham,2016-2018,0.09
Owen,2008-2010,0.353
Owen,2009-2011,0.334
Owen,2010-2012,0.291
Owen,2011-2013,0.276
Owen,2012-2014,0.262
Owen,2013-2015,0.271
Owen,2014-2016,0.257
Owen,2015-2017,0.249
Owen,2016-2018,0.243
Owsley,2008-2010,0.465
Owsley,2009-2011,0.441
Owsley,2010-2012,0.434
Owsley,2011-2013,0.426
Owsley,2012-2014,0.425
Owsley,2013-2015,0.44
Owsley,2014-2016,0.427
Owsley,2015-2017,0.453
Owsley,2016-2018,0.453
Pendleton,2008-2010,0.354
Pendleton,2009-2011,0.343
Pendleton,2010-2012,0.295
Pendleton,2011-2013,0.264
Pendleton,2012-2014,0.236
Pendleton,2013-2015,0.238
Pendleton,2014-2016,0.256
Pendleton,2015-2017,0.311
Pendleton,2016-2018,0.325
Perry,2008-2010,0.365
Perry,2009-2011,0.357
Perry,2010-2012,0.349
Perry,2011-2013,0.341
Perry,2012-2014,0.327
Perry,2013-2015,0.325
Perry,2014-2016,0.334
Perry,2015-2017,0.336
Perry,2016-2018,0.337
Pike,2008-2010,0.321
Pike,2009-2011,0.314
Pike,2010-2012,0.313
Pike,2011-2013,0.31
Pike,2012-2014,0.287
Pike,2013-2015,0.27
Pike,2014-2016,0.257
Pike,2015-2017,0.256
Pike,2016-2018,0.237
Powell,2008-2010,0.384
Powell,2009-2011,0.346
Powell,2010-2012,0.334
Powell,2011-2013,0.311
Powell,2012-2014,0.33
Powell,2013-2015,0.319
Powell,2014-2016,0.326
Powell,2015-2017,0.306
Powell,2016-2018,0.302
Pulaski,2008-2010,0.283
Pulaski,2009-2011,0.261
Pulaski,2010-2012,0.263
Pulaski,2011-2013,0.254
Pulaski,2012-2014,0.254
Pulaski,2013-2015,0.24
Pulaski,2014-2016,0.232
Pulaski,2015-2017,0.247
Pulaski,2016-2018,0.255
Robertson,2008-2010,0.373
Robertson,2009-2011,0.399
Robertson,2010-2012,0.342
Robertson,2011-2013,0.427
Robertson,2012-2014,0.358
Robertson,2013-2015,0.385
Robertson,2014-2016,0.364
Robertson,2015-2017,0.347
Robertson,2016-2018,0.328
Rockcastle,2008-2010,0.309
Rockcastle,2009-2011,0.292
Rockcastle,2010-2012,0.261
Rockcastle,2011-2013,0.261
Rockcastle,2012-2014,0.272
Rockcastle,2013-2015,0.284
Rockcastle,2014-2016,0.275
Rockcastle,2015-2017,0.254
Rockcastle,2016-2018,0.238
Rowan,2008-2010,0.328
Rowan,2009-2011,0.293
Rowan,2010-2012,0.282
Rowan,2011-2013,0.285
Rowan,2012-2014,0.299
Rowan,2013-2015,0.29
Rowan,2014-2016,0.268
