Location,TimeFrame,CHILD_DEEP_POV_PCT
Menifee,2009-2013,0.29
Menifee,2010-2014,0.32
Menifee,2011-2015,0.33
Menifee,2012-2016,0.3
Menifee,2013-2017,0.24
Menifee,2014-2018,0.22
Mercer,2005-2009,S
Mercer,2006-2010,S
Mercer,2007-2011,0.08
Mercer,2008-2012,0.14
Mercer,2009-2013,0.12
Mercer,2010-2014,0.13
Mercer,2011-2015,0.14
Mercer,2012-2016,0.12
Mercer,2013-2017,0.07
Mercer,2014-2018,0.08
Metcalfe,2005-2009,0.1
Metcalfe,2006-2010,0.11
Metcalfe,2007-2011,0.15
Metcalfe,2008-2012,0.1
Metcalfe,2009-2013,0.09
Metcalfe,2010-2014,0.12
Metcalfe,2011-2015,0.14
Metcalfe,2012-2016,0.12
Metcalfe,2013-2017,0.11
Metcalfe,2014-2018,S
Monroe,2005-2009,0.26
Monroe,2006-2010,0.27
Monroe,2007-2011,0.24
Monroe,2008-2012,0.15
Monroe,2009-2013,0.18
Monroe,2010-2014,0.23
Monroe,2011-2015,0.19
Monroe,2012-2016,0.19
Monroe,2013-2017,0.21
Monroe,2014-2018,0.19
Montgomery,2005-2009,0.13
Montgomery,2006-2010,0.16
Montgomery,2007-2011,0.17
Montgomery,2008-2012,0.18
Montgomery,2009-2013,0.19
Montgomery,2010-2014,0.16
Montgomery,2011-2015,0.13
Montgomery,2012-2016,0.12
Montgomery,2013-2017,0.09
Montgomery,2014-2018,0.08
Morgan,2005-2009,0.21
Morgan,2006-2010,0.2
Morgan,2007-2011,0.19
Morgan,2008-2012,0.21
Morgan,2009-2013,0.18
Morgan,2010-2014,0.17
Morgan,2011-2015,0.17
Morgan,2012-2016,0.18
Morgan,2013-2017,0.18
Morgan,2014-2018,0.16
Muhlenberg,2005-2009,0.13
Muhlenberg,2006-2010,0.14
Muhlenberg,2007-2011,0.16
Muhlenberg,2008-2012,0.17
Muhlenberg,2009-2013,0.17
Muhlenberg,2010-2014,0.16
Muhlenberg,2011-2015,0.14
Muhlenberg,2012-2016,0.11
Muhlenberg,2013-2017,0.12
Muhlenberg,2014-2018,0.09
Nelson,2005-2009,0.08
Nelson,2006-2010,0.11
Nelson,2007-2011,0.13
Nelson,2008-2012,0.15
Nelson,2009-2013,0.14
Nelson,2010-2014,0.15
Nelson,2011-2015,0.14
Nelson,2012-2016,0.09
Nelson,2013-2017,0.08
Nelson,2014-2018,0.08
Nicholas,2005-2009,0.2
Nicholas,2006-2010,S
Nicholas,2007-2011,S
Nicholas,2008-2012,S
Nicholas,2009-2013,S
Nicholas,2010-2014,S
Nicholas,2011-2015,S
Nicholas,2012-2016,S
Nicholas,2013-2017,0.2
Nicholas,2014-2018,0.11
Ohio,2005-2009,0.14
Ohio,2006-2010,0.14
Ohio,2007-2011,0.19
Ohio,2008-2012,0.2
Ohio,2009-2013,0.17
Ohio,2010-2014,0.19
Ohio,2011-2015,0.18
Ohio,2012-2016,0.15
Ohio,2013-2017,0.14
Ohio,2014-2018,0.18
Oldham,2005-2009,0.02
Oldham,2006-2010,0.03
Oldham,2007-2011,0.03
Oldham,2008-2012,0.03
Oldham,2009-2013,0.03
Oldham,2010-2014,0.03
Oldham,2011-2015,0.02
Oldham,2012-2016,0.03
Oldham,2013-2017,0.03
Oldham,2014-2018,0.03
Owen,2005-2009,S
Owen,2006-2010,S
Owen,2007-2011,S
Owen,2008-2012,S
Owen,2009-2013,0.11
Owen,2010-2014,S
